Title,Type,Episodes,Episode length,Genres,Age Limit,Studio,Author,Rate,Link
Видеовоин Лазерион,TV Сериал,45,24 мин,"['Экшен', 'Фантастика', 'Меха']",PG-13,Toei,Kouzou Morishita,6.74,https://shikimori.me/animes/6672-video-senshi-lezarion
Ведьма за работой: Спецвыпуски,Спешл,6,5 мин,['Комедия'],PG-13,J.C.Staff,Ryuu Mizunagi,6.74,https://shikimori.me/animes/23487-witch-craft-works-specials
Я великий бог,ONA,16,20 мин,"['Экшен', 'Фэнтези', 'Боевые']",PG-13,CG Year,Не смог X2,6.74,https://shikimori.me/animes/44513-wo-shi-da-shenxian
Богиня идола-мерзавца,TV Сериал,10,23 мин,"['Дзёсей', 'Комедия', 'Сверхъестественное', 'Музыка']",PG-13,Gokumi,Daiki Fukuoka,6.74,https://shikimori.me/animes/50470-kami-kuzu-idol
Теннис 3,TV Сериал,12,2 мин,"['Комедия', 'Школа', 'Сёнен']",PG-13,MAPPA,Tsugeo Terada,6.73,https://shikimori.me/animes/20473-teekyuu-3
Манящие горы: Каков стимул восхождения?,Спешл,Не указано,5 мин,"['Комедия', 'Повседневность']",PG-13,8bit,Yuusuke Yamamoto,6.74,https://shikimori.me/animes/17341-yama-no-susume-kabe-tte-kowakunai-no
"Взбодритесь, пони!",ONA,24,3 мин,['Комедия'],PG-13,Scooter Films,Не смог X2,6.74,https://shikimori.me/animes/51772-umayuru
Несносные пришельцы: Лам навсегда,Фильм,Не указано,1 час 35 мин,"['Экшен', 'Приключения', 'Комедия', 'Драма', 'Романтика', 'Фантастика']",PG-13,Deen,Rumiko Takahashi,6.73,https://shikimori.me/animes/1923-urusei-yatsura-movie-4-lum-the-forever
В поисках потерянного будущего,TV Сериал,12,23 мин,"['Драма', 'Романтика', 'Фантастика', 'Школа']",PG-13,feel.,Naoto Hosoda,6.73,https://shikimori.me/animes/21845-ushinawareta-mirai-wo-motomete
В поисках потерянного будущего: В поисках потерянных летних каникул,Спешл,Не указано,28 мин,['Романтика'],R+,feel.,Не смог X2,6.73,https://shikimori.me/animes/31521-ushinawareta-mirai-wo-motomete-ushinawareta-natsuyasumi-wo-motomete
Ута-Ката,TV Сериал,12,23 мин,"['Драма', 'Психологическое']",PG-13,Hal Film Maker,Keiji Gotou,6.73,https://shikimori.me/animes/688-uta-kata
Часы ёкаев. Фильм 2,Фильм,Не указано,1 час 34 мин,"['Детское', 'Комедия', 'Сверхъестественное']",G,OLM,Akihiro Hino,6.73,https://shikimori.me/animes/28257-youkai-watch-movie-2-enma-daiou-to-itsutsu-no-monogatari-da-nyan
Храбрый Экскайзер,TV Сериал,48,24 мин,"['Сёнен', 'Экшен', 'Фантастика', 'Меха']",G,Sunrise,Hajime Yatate,6.73,https://shikimori.me/animes/3325-yuusha-exkaiser
Древний миф,ONA,85 / ?,8 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Боевые']",PG-13,Soyep,Не смог X2,6.73,https://shikimori.me/animes/52623-wangu-shenhua
Император джунглей: Храбрость меняет будущее,Спешл,Не указано,1 час 46 мин,['Приключения'],G,Tezuka,Osamu Tezuka,6.73,https://shikimori.me/animes/6909-jungle-taitei-yuuki-ga-mirai-wo-kaeru
Огни Пёстрой арены: Это здорово!,OVA,Не указано,26 мин,['Комедия'],G,Gonzo,Junichi Satou,6.73,https://shikimori.me/animes/1501-kaleido-star-good-da-yo-goood
